Bus No,Date,Time,Week Day,Bus Type,Driver Rating Based On Time,Driver Rating Based On Decepline,Bus Rating,Driver Age,Weather,Longtide,Latitude
NA-7111,2020-01-09,16:19:25,Thursday,Normal,4,4.5,4.5,32,32,8.35434,80.43863
NA-7111,2020-01-09,16:19:26,Thursday,Normal,4,4.5,4.5,32,32,8.35435,80.43874
NA-7111,2020-01-09,16:19:27,Thursday,Normal,4,4.5,4.5,32,32,8.35436,80.43885
NA-7111,2020-01-09,16:19:28,Thursday,Normal,4,4.5,4.5,32,32,8.35437,80.43896
NA-7111,2020-01-09,16:19:29,Thursday,Normal,4,4.5,4.5,32,32,8.35437,80.43908
NA-7111,2020-01-09,16:19:30,Thursday,Normal,4,4.5,4.5,32,32,8.35439,80.43919
NA-7111,2020-01-09,16:19:31,Thursday,Normal,4,4.5,4.5,32,32,8.35439,80.43929
NA-7111,2020-01-09,16:19:32,Thursday,Normal,4,4.5,4.5,32,32,8.3544,80.43939
NA-7111,2020-01-09,16:19:33,Thursday,Normal,4,4.5,4.5,32,32,8.3544,80.43947
NA-7111,2020-01-09,16:19:34,Thursday,Normal,4,4.5,4.5,32,32,8.35441,80.43954
NA-7111,2020-01-09,16:19:35,Thursday,Normal,4,4.5,4.5,32,32,8.35441,80.43961
NA-7111,2020-01-09,16:19:36,Thursday,Normal,4,4.5,4.5,32,32,8.35441,80.43968
NA-7111,2020-01-09,16:19:37,Thursday,Normal,4,4.5,4.5,32,32,8.35441,80.43974
NA-7111,2020-01-09,16:19:38,Thursday,Normal,4,4.5,4.5,32,32,8.35442,80.43982
NA-7111,2020-01-09,16:19:39,Thursday,Normal,4,4.5,4.5,32,32,8.35443,80.4399
NA-7111,2020-01-09,16:19:40,Thursday,Normal,4,4.5,4.5,32,32,8.35444,80.43999
NA-7111,2020-01-09,16:19:41,Thursday,Normal,4,4.5,4.5,32,32,8.35444,80.44008
NA-7111,2020-01-09,16:19:42,Thursday,Normal,4,4.5,4.5,32,32,8.35445,80.44016
NA-7111,2020-01-09,16:19:43,Thursday,Normal,4,4.5,4.5,32,32,8.35446,80.44026
NA-7111,2020-01-09,16:19:44,Thursday,Normal,4,4.5,4.5,32,32,8.35446,80.44036
NA-7111,2020-01-09,16:19:45,Thursday,Normal,4,4.5,4.5,32,32,8.35447,80.44046
NA-7111,2020-01-09,16:19:46,Thursday,Normal,4,4.5,4.5,32,32,8.35447,80.44057
NA-7111,2020-01-09,16:19:47,Thursday,Normal,4,4.5,4.5,32,32,8.35447,80.44067
NA-7111,2020-01-09,16:19:48,Thursday,Normal,4,4.5,4.5,32,32,8.35447,80.44077
NA-7111,2020-01-09,16:19:49,Thursday,Normal,4,4.5,4.5,32,32,8.35448,80.44086
NA-7111,2020-01-09,16:19:50,Thursday,Normal,4,4.5,4.5,32,32,8.35448,80.44096
NA-7111,2020-01-09,16:19:51,Thursday,Normal,4,4.5,4.5,32,32,8.35448,80.44106
NA-7111,2020-01-09,16:19:52,Thursday,Normal,4,4.5,4.5,32,32,8.35449,80.44116
NA-7111,2020-01-09,16:19:53,Thursday,Normal,4,4.5,4.5,32,32,8.35449,80.44125
NA-7111,2020-01-09,16:19:54,Thursday,Normal,4,4.5,4.5,32,32,8.3545,80.44134
NA-7111,2020-01-09,16:19:55,Thursday,Normal,4,4.5,4.5,32,32,8.35451,80.44143
NA-7111,2020-01-09,16:19:56,Thursday,Normal,4,4.5,4.5,32,32,8.35451,80.4415
NA-7111,2020-01-09,16:19:57,Thursday,Normal,4,4.5,4.5,32,32,8.35452,80.44157
NA-7111,2020-01-09,16:19:58,Thursday,Normal,4,4.5,4.5,32,32,8.35452,80.44165
NA-7111,2020-01-09,16:19:59,Thursday,Normal,4,4.5,4.5,32,32,8.35453,80.44172
NA-7111,2020-01-09,16:20:00,Thursday,Normal,4,4.5,4.5,32,32,8.35453,80.44179
NA-7111,2020-01-09,16:20:01,Thursday,Normal,4,4.5,4.5,32,32,8.35453,80.44186
NA-7111,2020-01-09,16:20:02,Thursday,Normal,4,4.5,4.5,32,32,8.35454,80.44195
NA-7111,2020-01-09,16:20:03,Thursday,Normal,4,4.5,4.5,32,32,8.35454,80.44203
NA-7111,2020-01-09,16:20:04,Thursday,Normal,4,4.5,4.5,32,32,8.35454,80.44211
NA-7111,2020-01-09,16:20:05,Thursday,Normal,4,4.5,4.5,32,32,8.35455,80.44219
NA-7111,2020-01-09,16:20:06,Thursday,Normal,4,4.5,4.5,32,32,8.35456,80.44226
NA-7111,2020-01-09,16:20:07,Thursday,Normal,4,4.5,4.5,32,32,8.35457,80.44234
NA-7111,2020-01-09,16:20:08,Thursday,Normal,4,4.5,4.5,32,32,8.35457,80.44241
NA-7111,2020-01-09,16:20:09,Thursday,Normal,4,4.5,4.5,32,32,8.35458,80.44248
NA-7111,2020-01-09,16:20:10,Thursday,Normal,4,4.5,4.5,32,32,8.35459,80.44256
NA-7111,2020-01-09,16:20:11,Thursday,Normal,4,4.5,4.5,32,32,8.35459,80.44265
NA-7111,2020-01-09,16:20:12,Thursday,Normal,4,4.5,4.5,32,32,8.3546,80.44272
