Bus No,Date,Time,Driver rating based on time,Driver rating based on decipline,Bus rating,Driver Age,Weather,Bus type,Longtide,Latitude,Start/End
NC - 5210,2020/02/19,10:02:35,4,4.5,4.5,32,33,Normal,8.5487357,80.8318471,
NC - 5210,2020/02/19,10:02:43,4,4.5,4.5,32,33,Normal,8.5487359,80.831847,
NC - 5210,2020/02/19,10:02:54,4,4.5,4.5,32,33,Normal,8.5487358,80.831847,
NC - 5210,2020/02/19,10:03:04,4,4.5,4.5,32,33,Normal,8.5487359,80.8318469,
NC - 5210,2020/02/19,10:03:14,4,4.5,4.5,32,33,Normal,8.548736,80.8318467,
NC - 5210,2020/02/19,10:03:24,4,4.5,4.5,32,33,Normal,8.5487359,80.8318468,
NC - 5210,2020/02/19,10:03:34,4,4.5,4.5,32,33,Normal,8.5487362,80.8318466,
NC - 5210,2020/02/19,10:03:43,4,4.5,4.5,32,33,Normal,8.5487363,80.8318465,
NC - 5210,2020/02/19,10:03:53,4,4.5,4.5,32,33,Normal,8.5487364,80.8318464,
NC - 5210,2020/02/19,10:04:04,4,4.5,4.5,32,33,Normal,8.5487365,80.8318467,
NC - 5210,2020/02/19,10:04:13,4,4.5,4.5,32,33,Normal,8.5487367,80.8318468,
NC - 5210,2020/02/19,10:04:24,4,4.5,4.5,32,33,Normal,8.5487367,80.8318468,
NC - 5210,2020/02/19,10:04:36,4,4.5,4.5,32,33,Normal,8.5487368,80.8318466,
NC - 5210,2020/02/19,10:04:43,4,4.5,4.5,32,33,Normal,8.548737,80.8318463,
NC - 5210,2020/02/19,10:04:54,4,4.5,4.5,32,33,Normal,8.5487368,80.8318467,
NC - 5210,2020/02/19,10:05:04,4,4.5,4.5,32,33,Normal,8.548737,80.8318471,
NC - 5210,2020/02/19,10:05:14,4,4.5,4.5,32,33,Normal,8.5487378,80.8318477,
NC - 5210,2020/02/19,10:05:24,4,4.5,4.5,32,33,Normal,8.5487382,80.8318479,
NC - 5210,2020/02/19,10:05:34,4,4.5,4.5,32,33,Normal,8.5487383,80.831848,
NC - 5210,2020/02/19,10:05:43,4,4.5,4.5,32,33,Normal,8.5487376,80.8318484,
NC - 5210,2020/02/19,10:05:54,4,4.5,4.5,32,33,Normal,8.5487375,80.8318484,
NC - 5210,2020/02/19,10:06:03,4,4.5,4.5,32,33,Normal,8.5487376,80.8318482,
NC - 5210,2020/02/19,10:06:13,4,4.5,4.5,32,33,Normal,8.5487377,80.8318481,
NC - 5210,2020/02/19,10:06:23,4,4.5,4.5,32,33,Normal,8.5487377,80.8318481,
